"seed","dataset","model","bias_level","accuracy","error_rate","PR_gap","TPR_gap","Error_gap"
24,"simulated","random_forest","moderate",0.691,0.309,0.126,0.169676881901487,0.018
24,"simulated","random_forest","severe",0.683,0.317,0.138,0.183661532462468,0.018
25,"simulated","logistic_regression","balanced",0.696,0.304,0.078,0.101635914671788,0.024
25,"simulated","logistic_regression","mild",0.697,0.303,0.052,0.0525413265656081,0.002
25,"simulated","logistic_regression","moderate",0.696,0.304,0.058,0.0650078880581659,0.00800000000000001
25,"simulated","logistic_regression","severe",0.699,0.301,0.04,0.044687564304822,0.00600000000000001
25,"simulated","decision_tree","balanced",0.688,0.312,0.00600000000000001,0.0129467041635229,0.004
25,"simulated","decision_tree","mild",0.668,0.332,0.066,0.0962857534810344,0.024
25,"simulated","decision_tree","moderate",0.679,0.321,0.06,0.0822587283078401,0.022
25,"simulated","decision_tree","severe",0.675,0.325,0.012,0.0206289868989642,0.03
25,"simulated","random_forest","balanced",0.691,0.309,0.128,0.168410041841004,0.038
25,"simulated","random_forest","mild",0.697,0.303,0.072,0.0903697098566431,0.018
25,"simulated","random_forest","moderate",0.698,0.302,0.13,0.165426298100007,0.032
25,"simulated","random_forest","severe",0.699,0.301,0.072,0.0784175869401194,0.00600000000000001
26,"simulated","logistic_regression","balanced",0.682,0.318,0.116,0.142816091954023,0.024
26,"simulated","logistic_regression","mild",0.679,0.321,0.106,0.142816091954023,0.034
26,"simulated","logistic_regression","moderate",0.675,0.325,0.11,0.135632183908046,0.022
26,"simulated","logistic_regression","severe",0.676,0.324,0.108,0.13117816091954,0.02
26,"simulated","decision_tree","balanced",0.684,0.316,0.064,0.0678160919540229,0.004
26,"simulated","decision_tree","mild",0.674,0.326,0.024,0.0295977011494254,0.00800000000000001
26,"simulated","decision_tree","moderate",0.681,0.319,0.09,0.0724137931034483,0.018
26,"simulated","decision_tree","severe",0.648,0.352,0.228,0.273563218390805,0.032
26,"simulated","random_forest","balanced",0.666,0.334,0.12,0.176867816091954,0.052
26,"simulated","random_forest","mild",0.683,0.317,0.134,0.15933908045977,0.022
26,"simulated","random_forest","moderate",0.672,0.328,0.096,0.130459770114943,0.032
26,"simulated","random_forest","severe",0.671,0.329,0.146,0.182471264367816,0.03
