"seed","model","bias_level","delta_accuracy","delta_PR_gap","delta_TPR_gap","delta_Error_gap"
29,"logistic_regression","mild",0.00600000000000001,0.032,0.0458351071377892,0.012
29,"logistic_regression","moderate",0.003,0.038,0.0499503334752377,0.01
29,"logistic_regression","severe",0.00600000000000001,0.024,0.0411522633744855,0.016
29,"decision_tree","mild",-0.021,-0.0100000000000001,0.0183056619838229,0.022
29,"decision_tree","moderate",0.012,-0.00400000000000011,0.0127713920817368,0.012
29,"decision_tree","severe",0.004,-0.0880000000000001,-0.0882645097204485,0.00799999999999995
29,"random_forest","mild",-0.012,0.052,0.0601674471406273,0.00399999999999995
29,"random_forest","moderate",-0.003,0.026,0.0181637576273592,-0.01
29,"random_forest","severe",-0.001,0.034,0.0346246629771534,-0.002
30,"logistic_regression","mild",-0.002,-0.004,0.0159244264507421,-0.02
30,"logistic_regression","moderate",-0.003,0.022,0.0225371120107962,-0.002
30,"logistic_regression","severe",-0.00900000000000001,0.03,0.0483805668016194,-0.022
30,"decision_tree","mild",-0.017,0.066,0.0412280701754386,0.0220000000000001
30,"decision_tree","moderate",-0.00600000000000001,0.056,0.0670715249662617,5.55111512312578e-17
30,"decision_tree","severe",-0.039,0.066,0.0805668016194331,0.0220000000000001
30,"random_forest","mild",-0.004,-0.0760000000000001,-0.11417004048583,0.02
30,"random_forest","moderate",0.004,-0.108,-0.137246963562753,0.012
30,"random_forest","severe",-0.00600000000000001,-0.056,-0.0630229419703104,-5.55111512312578e-17
